"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"421",314,102,NA,NA,35,2,19,2
"422",314,103,45,3,NA,NA,NA,NA
"423",314,115,5,13,5,20,NA,NA
"424",314,119,NA,NA,3,3,4,3
"425",314,122,5,4,NA,NA,NA,NA
"426",314,128,NA,NA,2,1,NA,NA
"427",314,182,NA,NA,NA,NA,2,2
"428",314,200,NA,NA,NA,NA,5,6
"429",314,1139,NA,NA,NA,NA,1,2
"430",314,2950,NA,NA,NA,NA,4,4
"431",314,3115,NA,NA,NA,NA,5,8
"432",314,3155,NA,NA,50,4,35,4
"433",317,103,20,4,NA,NA,NA,NA
"434",317,3155,NA,NA,2,4,2,4
"435",323,102,70,2,10,2,15,2
"436",323,103,5,3,NA,NA,NA,NA
"437",323,106,NA,NA,2,3,NA,NA
"438",323,107,30,1,7,1,10,1
"439",323,117,NA,NA,2,4,2,3
"440",323,121,NA,NA,NA,NA,1,3
"441",323,9104,NA,NA,1,2,NA,NA
"442",324,102,60,2,8,2,NA,NA
"443",324,103,20,3,NA,NA,NA,NA
"444",324,5102,NA,NA,NA,NA,10,2
"445",324,9104,NA,NA,1,2,NA,NA
"446",328,102,15,2,NA,NA,NA,NA
"447",328,104,15,3,NA,NA,NA,NA
"448",328,115,1,3,NA,NA,NA,NA
"449",328,119,5,4,20,8,7,3
"450",328,131,NA,NA,10,3,NA,NA
"451",328,141,NA,NA,50,6,50,1
"452",328,144,NA,NA,10,4,NA,NA
"453",328,1144,NA,NA,NA,NA,25,2
"454",328,1555,NA,NA,NA,NA,4,6
"455",328,2950,NA,NA,NA,NA,40,5
"456",328,3115,NA,NA,NA,NA,3,5
"457",328,4104,NA,NA,20,6,NA,NA
"458",329,103,40,4,NA,NA,NA,NA
"459",329,117,NA,NA,NA,NA,1,1
"460",329,129,20,2,7,1,20,1
"461",329,2109,NA,NA,3,2,NA,NA
"462",329,3109,NA,NA,NA,NA,5,2
"463",329,3155,NA,NA,8,4,20,4
"464",331,102,70,2,NA,NA,20,2
"465",331,103,30,3,NA,NA,NA,NA
"466",331,106,15,4,1,3,NA,NA
"467",331,107,15,1,NA,NA,NA,NA
"468",331,120,NA,NA,15,3,5,3
"469",331,121,NA,NA,NA,NA,1,3
"470",331,136,NA,NA,5,2,NA,NA
"471",331,137,NA,NA,1,2,NA,NA
"472",331,144,NA,NA,1,3,NA,NA
"473",331,1167,NA,NA,NA,NA,1,4
"474",331,2102,NA,NA,1,3,2,4
"475",331,5102,NA,NA,10,3,NA,NA
"476",331,6102,NA,NA,20,3,NA,NA
"477",338,102,NA,NA,10,3,8,3
"478",338,103,30,3,NA,NA,NA,NA
"479",338,119,NA,NA,NA,NA,1,3
"480",338,129,20,1,NA,NA,NA,NA
"481",338,142,NA,NA,NA,NA,10,1
"482",338,155,NA,NA,20,5,20,3
"483",338,2109,NA,NA,5,2,5,2
"484",345,103,30,4,NA,NA,NA,NA
"485",345,129,15,1,NA,NA,NA,NA
"486",345,2109,NA,NA,5,2,5,2
"487",345,3155,NA,NA,7,2,7,2
"488",352,102,75,2,45,2,50,2
"489",352,106,15,4,7,2,NA,NA
"490",352,144,NA,NA,2,3,3,15
"491",352,9104,NA,NA,2,3,NA,NA
"492",354,102,70,2,20,2,30,2
"493",354,103,25,4,NA,NA,NA,NA
"494",354,119,5,7,2,12,2,15
"495",354,182,NA,NA,NA,NA,5,2
"496",354,3155,NA,NA,10,2,NA,NA
"497",363,103,5,3,NA,NA,NA,NA
"498",363,119,NA,NA,5,2,1,4
"499",363,155,NA,NA,NA,NA,1,4
"500",365,102,NA,NA,NA,NA,5,1
"501",365,103,20,4,NA,NA,NA,NA
"502",365,119,NA,NA,5,3,1,3
"503",365,128,NA,NA,1,3,NA,NA
"504",365,129,NA,NA,10,1,12,2
"505",365,144,NA,NA,2,4,NA,NA
"506",365,154,NA,NA,10,2,NA,NA
"507",365,155,NA,NA,20,6,12,4
"508",365,182,NA,NA,NA,NA,2,1
"509",365,2109,NA,NA,10,3,5,3
"510",365,4102,NA,NA,20,2,NA,NA
"511",368,102,25,2,20,2,NA,NA
