"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"1018",478,"21",1,"0","3",1,80,4,0,2,1,100,4,0,2,24,17,18,NA,1,NA
"1019",479,"21",2,"9","3",1,70,4,0,2,1,70,4,0,2,33,21,18,1,NA,1
"1020",479,"21",1,"0","3",1,70,4,0,2,1,70,4,0,2,33,21,18,1,NA,1
"1021",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,4,4
"1022",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,4,3
"1023",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,2,2
"1024",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,1,3
"1025",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,2,1
"1026",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,2,4
"1027",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,4,2
"1028",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,3,2
"1029",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,3,4
"1030",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,2,3
"1031",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,4,1
"1032",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,1,4
"1033",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,3,3
"1034",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,3,1
"1035",479,"43",NA,NA,NA,2,30,3,0,1,2,30,3,0,1,1,1,3,3,1,1
