"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Stem_NFI2","BranchesOver7cm_NFI2","Branches7to2cm_NFI2","BranchesUnder2cmLeaves_NFI2","Roots_NFI2","TotalC_NFI2","Stem_NFI3","BranchesOver7cm_NFI3","Branches7to2cm_NFI3","BranchesUnder2cmLeaves_NFI3","Roots_NFI3","TotalC_NFI3","Stem_NFI4","BranchesOver7cm_NFI4","Branches7to2cm_NFI4","BranchesUnder2cmLeaves_NFI4","Roots_NFI4","TotalC_NFI4"
243,42.754268,-4.61427,"A","1",NA,NA,28.9620848943495,7.77222891073504,7.88207466072078,11.1630159633931,11.3714760550573,67.1508804842556,49.7887742923736,9.08565342756818,9.08565342756818,12.5559893816681,14.4046585260298,94.9207290552079,0,0,0,0,0,0
244,42.754439,-4.602055,"A","3E",NA,NA,0,0,0,0,0,0,54.9683090106272,10.0263507627631,10.0263507627631,13.8559933765633,15.2845350633372,104.161538976054,0,0,0,0,0,0
246,42.754778,-4.577624,"A","4","A","1",34.5153687615981,0.140140445610939,0,8.32414592686136,13.1997511778666,56.179406311937,51.1552182628445,0.161316770400871,0,10.2715836767035,19.5659733309888,81.1540920409376,56.861402997478,0.153753248958985,0,10.1430935132384,21.2456372489895,88.403887008665
247,42.754946,-4.565409,"A","4C","A","1",0,0,0,0,0,0,4.94661994959552,0,1.43383126811759,3.01542982134753,5.03018850389234,14.426069542953,31.3476490969116,1.0176334810315,6.30828294406272,8.72879514886677,18.9019858832988,66.3043465541714
248,42.755112,-4.553193,"A","4C","A","4",0,0,0,0,0,0,1.49562236995653,0,0.51808502741091,1.76215407141446,2.13433304038898,5.91019450917089,32.4704644681687,0,6.32220844094424,12.4434329351687,25.5801637232402,76.8162695675219
249,42.755277,-4.540977,"A","4C","A","4",0,0,0,0,0,0,4.75810401307738,0,1.6250463449696,3.90065370300317,5.42493159656635,15.7087356576165,24.681514950874,0,6.49103427490504,14.457659417032,24.1693680156901,69.7995766585012
251,42.742728,-4.785012,"A","1",NA,NA,24.7058744600379,0,6.5514890451823,14.1758695203673,23.6155184160785,69.048751441666,27.7711717628235,0,4.12706719648803,7.03760038254832,17.8660203226249,56.8018596644848,0,0,0,0,0,0
253,42.744209,-4.687314,"A","1",NA,NA,4.91202425857689,0,0.925477267613842,2.33896650846939,5.2644433329387,13.4409113675988,7.55438439333671,0,1.34888831550385,2.52360693259859,6.65861238442131,18.0854920258605,0,0,0,0,0,0
254,42.745437,-4.601823,"A","4","A","1",31.8507311172726,0.216412070146908,6.73776263196742,13.1957155366368,25.4429543287806,77.4435756848043,21.7243349783863,0,3.14891002915563,5.37378430074474,13.8447813352356,44.0918106435223,52.8808892267853,0.0114252493919337,5.94600554394701,8.48421177634257,26.9046849844973,94.2272167809642
256,42.745944,-4.565182,"A","4C",NA,NA,0,0,0,0,0,0,2.56688595553897,0.425709790863439,0.759900736103426,0.955545833662582,1.08934121243969,5.79738352860811,0,0,0,0,0,0
