"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
386,"25","Pinus nigra",NA,1,1,30,0,"1","Young growth",3,"Polewood",3,"Polewood",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",40,20,20,1,"1–4 stems",NA,NA,NA,NA
386,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","3","Coppice (stump or root sprout)",NA,NA,NA,NA,NA,10,NA,3,">15 stems",2,"5–15 stems",1,"1–4 stems"
398,"25","Pinus nigra",5,20,11,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",40,40,40,0,NA,NA,NA,NA,NA
398,"25","Pinus nigra",5,20,11,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",50,40,40,0,NA,NA,NA,NA,NA
398,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,20,10,3,">15 stems",3,">15 stems",3,">15 stems"
402,"25","Pinus nigra",NA,12,13,30,0,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",40,40,40,0,NA,NA,NA,NA,NA
402,"25","Pinus nigra",NA,12,13,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",50,40,40,0,NA,NA,NA,NA,NA
402,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
404,"25","Pinus nigra",25,44,31,35,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",50,90,90,0,NA,NA,NA,NA,NA
404,"25","Pinus nigra",25,44,31,35,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",80,90,90,0,NA,NA,NA,NA,NA
407,"25","Pinus nigra",8,15,14,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,NA,NA,NA,NA,1,"1–4 stems"
407,"25","Pinus nigra",8,15,14,30,0,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,NA,NA,NA,NA,1,"1–4 stems"
411,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,30,3,">15 stems",1,"1–4 stems",2,"5–15 stems"
412,"25","Pinus nigra",1,18,29,0,0,"1","Young growth",3,"Polewood",3,"Polewood",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,80,80,1,"1–4 stems",NA,NA,NA,NA
412,"25","Pinus nigra",1,18,29,0,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",80,80,80,1,"1–4 stems",NA,NA,NA,NA
412,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,3,">15 stems",1,"1–4 stems",2,"5–15 stems"
418,"21","Pinus sylvestris",2,7,2,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",40,30,20,0,NA,NA,NA,NA,NA
418,"25","Pinus nigra",8,37,27,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",70,70,70,0,NA,NA,NA,1,"1–4 stems"
418,"43","Quercus pyrenaica",NA,NA,NA,NA,0,NA,NA,NA,NA,2,"Thicket",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",NA,NA,10,NA,NA,1,"1–4 stems",1,"1–4 stems"
424,"25","Pinus nigra",8,12,21,25,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",80,70,80,0,NA,NA,NA,NA,NA
424,"43","Quercus pyrenaica",NA,NA,1,0,0,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,20,3,">15 stems",2,"5–15 stems",3,">15 stems"
431,"43","Quercus pyrenaica",NA,NA,NA,NA,0,NA,NA,NA,NA,2,"Thicket",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",NA,NA,10,3,">15 stems",1,"1–4 stems",2,"5–15 stems"
436,"21","Pinus sylvestris",39,32,32,35,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",90,90,90,NA,NA,NA,NA,2,"5–15 stems"
436,"21","Pinus sylvestris",39,32,32,35,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",70,90,90,NA,NA,NA,NA,2,"5–15 stems"
436,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,3,">15 stems",2,"5–15 stems"
439,"43","Quercus pyrenaica",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,">15 stems",1,"1–4 stems",3,">15 stems"
453,"25","Pinus nigra",28,31,27,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",80,70,80,0,NA,NA,NA,NA,NA
454,"43","Quercus pyrenaica",12,12,13,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,100,3,">15 stems",2,"5–15 stems",2,"5–15 stems"
458,"43","Quercus pyrenaica",2,9,24,0,0,"2","Thicket",2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
461,"21","Pinus sylvestris",11,12,17,60,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,70,70,0,NA,NA,NA,NA,NA
461,"21","Pinus sylvestris",11,12,17,60,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",90,70,70,0,NA,NA,NA,NA,NA
461,"43","Quercus pyrenaica",NA,NA,1,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",2,"5–15 stems"
465,"43","Quercus pyrenaica",6,4,7,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,40,3,">15 stems",2,"5–15 stems",3,">15 stems"
47,"21","Pinus sylvestris",13,33,51,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
47,"21","Pinus sylvestris",13,33,51,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
472,"25","Pinus nigra",16,12,14,40,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,1,"1–4 stems",NA,NA,NA,NA
472,"43","Quercus pyrenaica",1,2,9,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
475,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,2,"5–15 stems",NA,NA,NA,NA
479,"21","Pinus sylvestris",33,21,18,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",90,70,70,1,"1–4 stems",NA,NA,NA,NA
479,"21","Pinus sylvestris",33,21,18,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,70,70,1,"1–4 stems",NA,NA,NA,NA
479,"43","Quercus pyrenaica",1,1,3,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",3,">15 stems"
486,"25","Pinus nigra",28,28,30,0,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,60,80,NA,NA,NA,NA,2,"5–15 stems"
49,"42","Quercus petraea",22,26,31,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,80,80,3,">15 stems",1,"1–4 stems",1,"1–4 stems"
49,"65","Ilex aquifolium",NA,NA,NA,0,40,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,3,">15 stems",NA,NA,NA,NA
490,"215","Crataegus monogyna",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,NA,NA,2,"5–15 stems",2,"5–15 stems"
490,"43","Quercus pyrenaica",6,16,26,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,80,80,3,">15 stems",3,">15 stems",3,">15 stems"
490,"43","Quercus pyrenaica",6,16,26,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,80,80,3,">15 stems",3,">15 stems",3,">15 stems"
495,"21","Pinus sylvestris",12,12,12,45,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",40,40,40,NA,NA,NA,NA,1,"1–4 stems"
495,"21","Pinus sylvestris",12,12,12,45,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",40,40,40,NA,NA,NA,NA,1,"1–4 stems"
