"Estadillo","CoorX","CoorY","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","HoNFI2","HoNFI3","HoNFI4","HmNFI2","HmNFI3","HmNFI4","DgNFI2","DgNFI3","DgNFI4","DmNFI2","DmNFI3","DmNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","CompositionNFI2","CompositionNFI3","CompositionNFI4","StructureNFI2","StructureNFI3","StructureNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SlendernessNFI2","SlendernessNFI3","SlendernessNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","HartNFI2","HartNFI3","HartNFI4"
215,347873,4728789,91,"2004-08-03 00:00","2019-04-03T22:00:00Z",90,80,75,26,32,15,9.49029742368291,13.7025040144721,16.7355719684947,8,12.71875,16.3599999745687,0.171643806045677,0.239614517898019,0.318961622560876,0.161884615384615,0.234046875,0.314433333333333,0,0,0,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.993159777190697,0.766397947469434,0.700433059072132,49.4179139938228,54.3427465117832,52.0301069900414,0.688511268839096,0.568481805367729,0.25979916323616,29.0763391392196,28.9185626060003,43.4017669269885
217,346936,4727784,91,"2004-04-03 00:00","2019-04-03T22:00:00Z",80,75,75,24,21,28,9.43411575789549,10.4854461355244,13.1637822116712,7.66666666666667,9.69047619047619,12.9928571496691,0.200601231717721,0.220260830229374,0.279828726315631,0.191791666666667,0.206619047619048,0.266053571428571,0,0,0,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",1.09334428701637,0.941755455071807,1.17323481570559,39.9739300456224,46.9002074210648,48.8354923405242,0.369906924439446,0.463626457566306,0.487624295422854,39.7962943753171,33.889311721546,34.5058845847552
219,344871,4726777,91,"2004-09-03 00:00","2019-05-20T22:00:00Z",70,75,75,29,28,27,7.95492965855137,11.6511736368432,14.1800313788419,6.8448275862069,10.7321428571429,13.8592592168737,0.136076613815843,0.189195241181469,0.254486611013596,0.134310344827586,0.186357142857143,0.253574074074074,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,50.9627727856226,57.5891146032963,54.6556633105369,0.540636240345676,0.43664833260412,0.365291431403919,31.6854693356419,31.3597561035846,35.7385551092652
227,373885,4739823,91,"03/27/03 00:00:00","2019-06-04T22:00:00Z",40,50,70,1,1,5,12,13.5,12.9532259356591,12,13.5,15.9,0.413,0.469,0.370394586893491,0.413,0.469,0.3355,0,0,0,"Pure","Pure","Pure","Even-aged","Even-aged","Uneven-aged",0,0,0,29.0556900726392,28.7846481876333,47.3919523099851,0.0367292314665576,0.0162242741632887,0.172175560961902,229.431596594998,339.813225064079,89.9560029265551
229,361861,4737796,91,"03/14/03 00:00:00","2019-09-05T22:00:00Z",70,75,85,5,6,18,8.1,7.94209706414415,9.58031307937448,8.1,8.33333333333333,7.90555556615193,0.263086772757583,0.235879559662695,0.176724400943641,0.2617,0.226666666666667,0.156638888888889,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,30.951471150172,36.7647058823529,50.4699415466341,0.0890892234929598,0.127121039204803,0.969122577021252,151.975062341138,118.872266195083,28.3091530211704
234,357904,4735777,91,"2003-12-03 00:00","2019-07-14T22:00:00Z",80,80,90,6,13,34,6,8.10923331348472,11.8092957253026,5.58333333333333,7.84615384615385,10.6588234901428,0.10057211343111,0.138191617245487,0.154572988660792,0.1,0.134230769230769,0.146088235294118,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,55.8333333333333,58.4527220630372,72.9615459361497,0.205588282975277,0.305915020415955,0.961917835499157,62.4278391300961,48.8648809182186,20.7027104402663
236,359901,4735801,91,"03/14/03 00:00:00","2019-07-14T22:00:00Z",80,80,80,12,13,31,8.64147106052613,9.68967142006488,11.7135834216609,7.79166666666667,8.92307692307692,10.8774192871586,0.161976657268879,0.175158993708354,0.187637025199736,0.155208333333333,0.168730769230769,0.178951612903226,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,50.2013422818792,52.8835194894005,60.7841366204447,0.376311880088712,0.447545033937366,0.789853738250362,46.963927599424,40.8947530853248,26.910111129525
241,352865,4734813,91,"03/28/03 00:00:00","2019-07-18T22:00:00Z",70,70,70,26,32,36,10.3536776513153,15.0097025763171,18.525951738091,9.90384615384615,14.453125,17.955555650923,0.222675881219595,0.256548713088762,0.316634636538007,0.219557692307692,0.252703125,0.311319444444444,0,0,1,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,45.1081720241745,57.1940889136215,57.6756639244459,0.452217834595121,0.564488552882603,0.592410188376438,39.5209208947664,27.3367544891689,25.5972998753398
242,353876,4734814,91,"03/28/03 00:00:00","2019-07-18T22:00:00Z",80,70,65,21,28,28,9.73959304967206,13.7122065907892,16.6873864582023,9.26190476190476,13.1607142857143,16.3142856529781,0.194423935426343,0.248482016451895,0.286247956948417,0.193142857142857,0.246982142857143,0.283571428571429,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,47.9536489151874,53.2860964500036,57.5314859298975,0.36975559989912,0.408163066410665,0.456138392366672,41.6688273492836,34.2995023967355,29.8666798526944
250,352892,4733753,91,"03/31/03 00:00:00","2019-06-17T22:00:00Z",70,70,90,16,24,25,8.30062600361802,11.8488263631568,14.3215023044506,7.5,11.1875,13.68,0.161848163798667,0.224305316477341,0.278000665466829,0.15865625,0.220208333333333,0.2749,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,47.2720110301359,50.8041627246925,49.7635503819571,0.288954064464417,0.381715059742266,0.374583046069912,47.7388059371963,37.8086858158748,37.5121502315706
