"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
250,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,4,NA,NA
250,117,"Halimium spp.",15,10,5,3,2,1
250,136,"Chamaespartium tridentatum",NA,5,5,NA,4,3
250,2102,"Erica australis",NA,60,55,NA,10,10
252,102,"Erica spp.",20,5,2,1,2,1
252,106,"Calluna vulgaris",15,40,30,1,3,2
252,117,"Halimium spp.",10,15,5,1,2,2
252,8101,"Cistus laurifolius",NA,5,5,NA,13,15
255,102,"Erica spp.",20,NA,NA,2,NA,NA
255,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
255,106,"Calluna vulgaris",5,1,NA,2,5,NA
255,107,"Arctostaphylos uva-ursi",10,NA,1,1,NA,1
255,117,"Halimium spp.",5,NA,2,2,NA,3
255,136,"Chamaespartium tridentatum",NA,5,NA,NA,2,NA
255,182,"Lithodora sp.",NA,NA,3,NA,NA,2
255,5102,"Erica umbellata",NA,15,15,NA,3,2
259,102,"Erica spp.",40,30,20,6,1,1
259,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
259,106,"Calluna vulgaris",10,10,7,3,4,4
259,117,"Halimium spp.",5,NA,2,2,NA,2
259,136,"Chamaespartium tridentatum",NA,NA,1,NA,NA,2
259,2102,"Erica australis",NA,40,30,NA,10,10
260,102,"Erica spp.",10,NA,NA,1,NA,NA
260,106,"Calluna vulgaris",5,10,2,1,5,3
