"ID","Estadillo","Especie","CD","CoorX","CoorY","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
"122",131,42,55,385851,4755778,0,0,0,10.1859,2.34617,11.088,15.2788874423461,3.622341,19.8133951651883,"Q. petraea"
"123",131,42,60,385851,4755778,0,0,0,0,0,0,10.1859249615641,2.754517,15.0422585653056,"Q. petraea"
"124",131,99,15,385851,4755778,31.83,0.4590062,1.5315899,127.324,1.79741,6.05823,0,0,0,"Otras frondosas"
"125",131,99,20,385851,4755778,31.83,0.9800987,2.9045787,0,0,0,0,0,0,"Otras frondosas"
"126",131,99,25,385851,4755778,0,0,0,14.1471,0.582678,2.0308,0,0,0,"Otras frondosas"
"127",131,99,55,385851,4755778,5.09,1.2499342,2.677607,5.09296,1.27464,2.88017,0,0,0,"Otras frondosas"
"128",131,99,65,385851,4755778,5.09,1.7056497,3.4804966,0,0,0,0,0,0,"Otras frondosas"
"129",131,99,70,385851,4755778,0,0,0,5.09296,1.86596,4.62096,0,0,0,"Otras frondosas"
"130",131,215,15,385851,4755778,0,0,0,0,0,0,159.155077524438,2.579975,8.54495064277688,"Crataegus monogyna"
"131",131,278,10,385851,4755778,0,0,0,0,0,0,127.324062019551,0.7921,3.3634845700923,"Sorbus aria"
"132",131,378,15,385851,4755778,0,0,0,0,0,0,31.8310155048877,0.4761,2.1782692113685,"Sorbus aucuparia"
"133",131,378,25,385851,4755778,0,0,0,0,0,0,14.1471180021723,0.7056,2.67418574641345,"Sorbus aucuparia"
"134",133,42,10,377862,4754828,763.94,6.0844956,24.8658551,254.648,1.95822,7.72662,254.648124039101,2.203625,10.7209188313861,"Q. petraea"
"135",133,42,15,377862,4754828,445.63,7.6515962,36.9626983,572.958,9.93224,60.5638,286.479139543989,5.16434375,37.4683975378743,"Q. petraea"
"136",133,42,20,377862,4754828,127.32,3.3557386,15.3004996,286.479,8.54841,50.1067,541.12726358309,16.16093125,116.413438105594,"Q. petraea"
"137",133,42,25,377862,4754828,14.14,0.6057971,2.5368372,14.1471,0.807003,5.20201,99.029826015206,4.58277222222222,31.6764540526815,"Q. petraea"
"138",133,42,30,377862,4754828,0,0,0,14.1471,0.858711,4.97956,14.1471180021723,1.05746944444444,6.99679741061326,"Q. petraea"
"139",133,42,35,377862,4754828,0,0,0,0,0,0,14.1471180021723,1.30721111111111,9.65178782209262,"Q. petraea"
"140",133,43,10,377862,4754828,127.32,1.3455982,3.7384745,127.324,1.38062,6.75962,0,0,0,"Q. pyrenaica"
"141",133,43,15,377862,4754828,541.12,9.0950334,41.4718714,413.803,7.45095,40.2903,190.986093029326,3.29760625,18.1844446729044,"Q. pyrenaica"
"142",133,43,20,377862,4754828,31.83,0.7743973,3.4925673,159.155,4.44336,26.0457,190.986093029326,5.35844375,34.7868069537415,"Q. pyrenaica"
"143",133,43,25,377862,4754828,0,0,0,0,0,0,56.5884720086892,2.49216388888889,15.5375578279965,"Q. pyrenaica"
"144",151,43,10,376861,4751808,2164.5,17.7964956,60.9342615,1018.59,8.54923,34.1042,509.296248078203,5.21865,25.8062806031455,"Q. pyrenaica"
"145",151,43,15,376861,4751808,859.43,13.5174988,64.0395156,1082.25,18.5231,95.4186,954.93046514663,17.1310875,94.8926895566719,"Q. pyrenaica"
"146",151,43,20,376861,4751808,31.83,0.8883045,3.9764876,190.986,5.44852,27.4782,445.634217068427,12.97965625,75.2819458555261,"Q. pyrenaica"
"147",151,43,25,376861,4751808,14.14,0.6480188,2.9335289,42.4414,1.84599,10.3519,99.029826015206,4.59525555555556,27.0839281022484,"Q. pyrenaica"
"148",151,43,30,376861,4751808,14.14,0.8494622,3.6473484,14.1471,0.931225,4.58827,14.1471180021723,0.861802777777778,5.34016889434841,"Q. pyrenaica"
"149",151,43,35,376861,4751808,0,0,0,0,0,0,14.1471180021723,1.20633611111111,7.08716887771239,"Q. pyrenaica"
"150",151,43,40,376861,4751808,14.14,1.9320854,7.9331014,0,0,0,0,0,0,"Q. pyrenaica"
"151",151,43,45,376861,4751808,0,0,0,5.09296,0.751689,3.42844,5.09296248078203,0.7744,1.42309841435245,"Q. pyrenaica"
"152",154,43,10,380891,4751806,254.64,1.2567006,2.180589,1018.59,8.0361,19.9676,763.944372117304,6.3282,16.0433174952428,"Q. pyrenaica"
"153",154,43,15,380891,4751806,0,0,0,63.662,0.836181,2.61072,381.972186058652,5.99499375,21.6445119267234,"Q. pyrenaica"
"154",154,43,20,380891,4751806,0,0,0,0,0,0,95.493046514663,2.7596875,12.0363012522655,"Q. pyrenaica"
"155",154,43,25,380891,4751806,0,0,0,0,0,0,28.2942360043446,1.38063611111111,7.00641957362527,"Q. pyrenaica"
"156",160,42,10,377887,4750782,254.64,2.686218,13.3665881,127.324,1.52522,8.25129,0,0,0,"Q. petraea"
"157",160,42,15,377887,4750782,254.64,5.0541452,25.3734131,127.324,2.41218,12.344,0,0,0,"Q. petraea"
"158",160,42,20,377887,4750782,222.81,6.4088312,30.9868227,318.31,9.88137,55.8503,95.493046514663,2.96785,19.7649368420906,"Q. petraea"
"159",160,42,25,377887,4750782,56.58,2.7649038,13.1241605,56.5885,2.51007,15.1972,113.176944017378,5.61737222222222,40.3256846907078,"Q. petraea"
"160",160,42,30,377887,4750782,56.58,3.6371187,18.0662495,70.7356,5.15362,32.1054,28.2942360043446,2.11184444444444,12.4815749096959,"Q. petraea"
"161",160,42,35,377887,4750782,14.14,1.4721665,6.6052229,42.4414,3.79696,24.7537,56.5884720086892,5.49326388888889,40.3631114783651,"Q. petraea"
"162",160,42,40,377887,4750782,0,0,0,14.1471,1.85414,12.0948,28.2942360043446,3.36704444444444,24.0011714370302,"Q. petraea"
"163",160,42,45,377887,4750782,0,0,0,0,0,0,15.2788874423461,2.480561,18.5236273452188,"Q. petraea"
"164",160,43,15,377887,4750782,0,0,0,31.831,0.525625,2.97258,0,0,0,"Q. pyrenaica"
"165",160,43,20,377887,4750782,0,0,0,0,0,0,31.8310155048877,1.11830625,7.31416948819929,"Q. pyrenaica"
"166",160,43,25,377887,4750782,0,0,0,0,0,0,28.2942360043446,1.31823611111111,8.41069851347293,"Q. pyrenaica"
"167",160,395,15,377887,4750782,0,0,0,0,0,0,31.8310155048877,0.5776,1.9456456871538,"Prunus avium"
"168",162,42,15,396931,4750791,0,0,0,31.831,0.581406,2.44209,0,0,0,"Q. petraea"
"169",162,42,20,396931,4750791,0,0,0,63.662,2.17718,9.31907,95.493046514663,2.7213875,13.4247177100102,"Q. petraea"
"170",162,42,25,396931,4750791,14.14,0.63202,2.2394347,14.1471,0.714025,2.63702,70.7355900108615,3.529275,20.4548665370677,"Q. petraea"
"171",162,42,30,396931,4750791,0,0,0,14.1471,0.9216,4.0237,42.4413540065169,2.95441388888889,16.8299215186321,"Q. petraea"
"172",162,42,35,396931,4750791,14.14,1.3301674,6.5463841,0,0,0,28.2942360043446,2.51284722222222,13.2467562635171,"Q. petraea"
"173",162,42,40,396931,4750791,0,0,0,14.1471,1.57084,7.85948,28.2942360043446,3.67405555555556,20.4095290927448,"Q. petraea"
"174",162,43,10,396931,4750791,509.29,4.2542768,17.7659378,127.324,1.5376,6.48601,0,0,0,"Q. pyrenaica"
"175",162,43,15,396931,4750791,190.98,3.1648672,12.6704441,286.479,5.43372,22.2438,31.8310155048877,0.525625,1.65918860118176,"Q. pyrenaica"
"176",162,43,20,396931,4750791,95.49,2.5409318,11.3748301,63.662,2.08681,9.31094,159.155077524438,4.63359375,20.7645348232241,"Q. pyrenaica"
"177",162,43,25,396931,4750791,28.29,1.4839566,7.6568869,127.324,5.97041,30.88,99.029826015206,4.44911944444444,20.5056546811552,"Q. pyrenaica"
"178",162,43,30,396931,4750791,28.29,1.850146,7.5490415,56.5885,4.27313,20.3991,70.7355900108615,5.12415555555555,26.0636751586208,"Q. pyrenaica"
"179",162,43,35,396931,4750791,14.14,1.4042142,6.7658536,14.1471,1.54174,8.10404,42.4413540065169,3.71915555555556,20.8397073246911,"Q. pyrenaica"
"180",162,65,15,396931,4750791,0,0,0,0,0,0,31.8310155048877,0.41925625,1.23415359962493,"Ilex aquifolium"
"181",162,99,15,396931,4750791,0,0,0,31.831,0.697225,1.92462,0,0,0,"Otras frondosas"
"182",162,278,10,396931,4750791,0,0,0,0,0,0,127.324062019551,0.819025,2.7018262474783,"Sorbus aria"
"183",162,278,20,396931,4750791,0,0,0,0,0,0,31.8310155048877,0.80550625,2.31804299142942,"Sorbus aria"
"184",168,42,15,398912,4749759,159.15,2.2676181,15.5584771,95.493,1.41538,9.07301,0,0,0,"Q. petraea"
"185",168,42,20,398912,4749759,95.49,2.9492026,21.7020829,63.662,2.01881,15.4486,31.8310155048877,0.8649,8.52117278090501,"Q. petraea"
"186",168,42,25,398912,4749759,99.02,5.0049086,37.2419987,70.7356,3.28382,26.7998,84.8827080130337,4.22542222222222,37.8948950620411,"Q. petraea"
"187",168,42,30,398912,4749759,99.02,7.3509453,55.6986064,70.7356,4.91494,37.2837,56.5884720086892,3.88461111111111,32.8958328234865,"Q. petraea"
"188",168,42,35,398912,4749759,70.73,7.0080786,56.2070835,113.177,10.7785,85.4935,70.7355900108615,7.318475,64.9616758137388,"Q. petraea"
"189",168,42,40,398912,4749759,56.58,7.0098455,52.4288881,84.8827,10.6755,85.8733,99.029826015206,12.5227222222222,109.651296968838,"Q. petraea"
"190",168,42,45,398912,4749759,15.27,2.2379309,16.7795673,35.6507,5.62591,43.3125,45.8366623270382,7.047233,62.3896612358504,"Q. petraea"
"191",168,42,50,398912,4749759,0,0,0,10.1859,1.95952,15.873,25.4648124039101,4.754015,40.4430244122905,"Q. petraea"
"192",168,42,55,398912,4749759,0,0,0,0,0,0,5.09296248078203,1.181569,9.78367593686164,"Q. petraea"
"193",168,42,60,398912,4749759,0,0,0,0,0,0,5.09296248078203,1.394761,11.7663275359099,"Q. petraea"
"194",172,43,10,375895,4747785,1655.21,11.0205924,44.5828041,1018.59,8.30425,31.5748,0,0,0,"Q. pyrenaica"
"195",172,43,15,375895,4747785,572.95,9.1183591,44.1433676,763.944,13.6823,78.86,222.817108534214,4.23125625,25.2566651255094,"Q. pyrenaica"
"196",172,43,20,375895,4747785,95.49,2.8016341,14.0682738,159.155,5.07196,30.6718,286.479139543989,8.5406,56.6007983699447,"Q. pyrenaica"
