"ID","Estadillo","CoorX","CoorY","Fecha2","FRACCION2","FRACCION3","Fecha3","FRACCION4","Fecha4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","IFN2_muert","IFN3_muert","IFN4_muert","N_IFN2","N_IFN3","N_IFN4","Ho_IFN2","Ho_IFN3","Ho_IFN4","HartIFN2","HartIFN3","HartIFN4","H_shannon2","H_shannon3","H_shannon4","SDIR_IFN2","SDIR_IFN3","SDIR_IFN4","max_abIFN2","n_especies_10IFN2","especie_dominanteIFN2","ComposicionIFN2","max_abIFN3","n_especies_10IFN3","especie_dominanteIFN3","ComposicionIFN3","max_abIFN4","n_especies_10IFN4","especie_dominanteIFN4","ComposicionIFN4","nCD_IFN2","FormaIFN2","nCD_IFN3","FormaIFN3","nCD_IFN4","FormaIFN4"
"41",236,359901,4735801,91,80,80,"03/14/03 00:00:00",80,"2019-07-14T22:00:00Z",12,13,31,0,0,0,650.75,682.5981,1078.71774766564,8.64147106052613,9.68967142006488,11.7135834216609,46.963927599424,40.8947530853248,26.910111129525,0,0,0,0.376311880088712,0.447545033937366,0.789853738250362,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",4,"Irregular",4,"Irregular",5,"Irregular"
"42",241,352865,4734813,91,70,70,"03/28/03 00:00:00",70,"2019-07-18T22:00:00Z",26,32,36,0,0,1,640.14,636.62,476.616405493185,10.3536776513153,15.0097025763171,18.525951738091,39.5209208947664,27.3367544891689,25.5972998753398,0,0,0,0.452217834595121,0.564488552882603,0.592410188376438,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",4,"Irregular",5,"Irregular",6,"Irregular"
"43",242,353876,4734814,91,80,70,"03/28/03 00:00:00",65,"2019-07-18T22:00:00Z",21,28,28,0,0,0,650.75,484.5382,431.487099066254,9.73959304967206,13.7122065907892,16.6873864582023,41.6688273492836,34.2995023967355,29.8666798526944,0,0,0,0.36975559989912,0.408163066410665,0.456138392366672,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",3,"Irregular",4,"Irregular",4,"Irregular"
"44",250,352892,4733753,91,70,70,"03/31/03 00:00:00",90,"2019-06-17T22:00:00Z",16,24,25,0,0,0,682.58,534.0532,371.361847557023,8.30062600361802,11.8488263631568,14.3215023044506,47.7388059371963,37.8086858158748,37.5121502315706,0,0,0,0.288954064464417,0.381715059742266,0.374583046069912,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",4,"Irregular",4,"Irregular",4,"Irregular"
"45",252,359878,4733793,91,60,65,"04/24/03 00:00:00",70,"2019-06-17T22:00:00Z",14,18,24,0,0,0,1103.46,1075.1804,1170.67401467976,10.1075120434163,10.3037560217081,11.7896090303353,30.8344788980194,30.6424116126988,25.665030560234,0,0,0,0.792563466873946,0.659004893043557,0.799863224875776,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",3,"Irregular",4,"Irregular",6,"Irregular"
"46",255,369882,4733786,91,85,75,"05/20/03 00:00:00",75,"2019-07-25T22:00:00Z",51,38,32,0,0,0,1418.22,555.2742,425.545309505343,10.6269171960505,13.5145538644756,17.3341971547594,25.8690260840982,32.5090079739126,28.9522648085067,0.68153185119396,0.675989499747711,0.684631440071809,1.0295435439046,0.635566507955894,0.664475576727077,66.3394358164098,2,26,"mixta",64.6741579658932,2,26,"mixta",50.0025898230217,2,26,"mixta",5,"Irregular",5,"Irregular",5,"Irregular"
"47",259,353892,4732804,91,80,90,"04/25/03 00:00:00",75,"2019-07-07T22:00:00Z",37,51,33,0,0,0,1828.48,1775.4625,466.854894071685,8.26040695032794,12.9805948473658,16.1922377463608,29.3097846486771,18.9281788687958,29.5911162640221,0.692156907750035,0.689969260651625,0.670477648797396,0.781422521577107,1.1224336685527,0.517730217200317,54.7002109438985,2,21,"mixta",56.5647198020141,2,21,"mixta",58.0051519474024,2,21,"mixta",4,"Irregular",5,"Irregular",3,"Irregular"
"48",260,369881,4732783,91,80,80,"04/21/03 00:00:00",80,"2019-06-13T22:00:00Z",30,34,32,0,0,1,820.49,779.64726,499.393265476682,10.4292644697369,13.6883569084195,16.3739680624975,34.6552352529309,27.0868672452611,28.2933191496522,0.675638293535592,0.866126025881653,1.01139086378272,0.553026830968886,0.665416161395902,0.555263703207234,64.8781938438361,2,21,"mixta",61.0639014824022,2,21,"mixta",46.3000853139123,3,21,"mixta",5,"Irregular",8,"Irregular",8,"Irregular"
"49",267,354892,4730794,91,90,70,"2004-02-03 00:00",80,"2019-07-16T22:00:00Z",32,24,28,0,0,0,1252,445.6337,449.17099656897,9.69937399638198,13.2780908328937,17.2478559901887,30.1656930895458,36.934696095376,28.3216275950894,0.444477980209007,0.257318763880987,0.393655849559998,0.593980019414422,0.378253908163046,0.497650633399971,92.92775185065,1,21,"pura",97.1692266503346,1,21,"pura",92.2898576570335,1,21,"pura",4,"Irregular",4,"Irregular",4,"Irregular"
"50",277,370905,4729765,91,85,90,"03/25/03 00:00:00",90,"2019-06-10T22:00:00Z",15,43,26,0,0,0,1145.9,1549.1087,622.473192095582,5.54507034144863,10.7073553026306,14.2126134301626,55.1542214717571,24.5660888069055,29.1961044092543,0.693147180559945,0.975860827327977,1.0765572039242,0.306659860665236,0.782441294443348,0.463621001911593,53.4864921340081,2,21,"mixta",59.5440793952003,2,21,"mixta",58.4000926822149,2,21,"mixta",2,"Regular",4,"Irregular",5,"Irregular"
