"ID","Estadillo","CoorX","CoorY","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"124",252,359878,4733793,3,5.23800473943862,39.6071731352343,13.2248891420603,10.0958183909193,47.3766641356026,21.3096860556135,24.1618592362737,71.4765398012834,33.8039016766167
"125",255,369882,4733786,2,176.188939134906,188.179575459397,93.6280883325308,175.027345316049,188.568230190424,92.8191059221897,241.802168700903,259.102934620721,93.3228213161138
"126",255,369882,4733786,3,11.9906363244913,188.179575459397,6.37191166746919,13.5408848743759,188.568230190424,7.1808940778103,17.3007659198184,259.102934620721,6.67717868388619
"127",259,353892,4732804,2,86.9008497893362,90.9492762985678,95.5486984899787,214.683199797614,217.928604636573,98.5107944666687,171.802875986257,192.101696231426,89.4332946333201
"128",259,353892,4732804,3,4.04842650923155,90.9492762985678,4.45130151002125,3.24540483895952,217.928604636573,1.48920553333129,20.2988202451693,192.101696231426,10.5667053666799
"129",260,369881,4732783,2,NA,NA,NA,140.807856926778,162.174556935156,86.8248753613544,167.205217076137,189.493631090955,88.2379086376155
"130",260,369881,4732783,3,109.825564064058,109.825564064058,100,20.346379949908,162.174556935156,12.5459753579246,22.288414014818,189.493631090955,11.7620913623845
"131",260,369881,4732783,4,NA,NA,NA,1.02032005847011,162.174556935156,0.629149280721064,NA,NA,NA
"132",267,354892,4730794,2,104.311469267025,105.970573286779,98.4343728940071,111.044982105293,111.044982105293,100,187.998012413026,195.490076006929,96.1675478638425
"133",267,354892,4730794,3,1.65910401975385,105.970573286779,1.56562710599287,NA,NA,NA,7.49206359390348,195.490076006929,3.8324521361575
"134",277,370905,4729765,2,19.4565178620962,21.781199437747,89.3271186359826,112.220164521201,129.046270203489,86.9611840344126,117.343802008553,128.956057795461,90.9951839522523
"135",277,370905,4729765,3,2.32468157565077,21.781199437747,10.6728813640174,16.8261056822875,129.046270203489,13.0388159655874,11.6122557869085,128.956057795461,9.0048160477477
"136",280,356902,4728782,2,72.6980519957064,72.6980519957064,100,119.266151911364,119.266151911364,100,185.502418714912,185.502418714912,100
"137",281,357857,4728757,2,65.1282670801394,75.6051137083585,86.1426745965454,122.225979023414,122.225979023414,100,133.268155734942,155.885693342921,85.490947165867
"138",281,357857,4728757,3,10.4768466282191,75.6051137083585,13.8573254034546,NA,NA,NA,22.6175376079791,155.885693342921,14.509052834133
"139",283,355888,4727755,2,188.323155898707,191.131954528254,98.5304400635256,157.436310207306,157.436310207306,100,171.962276299557,171.962276299557,100
"140",283,355888,4727755,3,2.80879862954766,191.131954528254,1.46955993647438,NA,NA,NA,NA,NA,NA
"141",290,367892,4727794,2,14.8118279805718,20.5787919213926,71.9761783740774,23.9438949408323,25.2336102052763,94.8888991549281,18.9166320789349,33.164115469782,57.0394590990106
"142",290,367892,4727794,3,5.76696394082084,20.5787919213926,28.0238216259226,1.28971526444404,25.2336102052763,5.11110084507194,14.247483390847,33.164115469782,42.9605409009894
"143",293,356886,4726774,2,18.6351321623775,30.6100630869875,60.8791040692085,90.0922062603886,97.6369176897702,92.2726857751143,194.891800669981,210.839206018981,92.4362239594258
"144",293,356886,4726774,3,11.97493092461,30.6100630869875,39.1208959307915,7.54471142938154,97.6369176897702,7.72731422488569,15.9474053490007,210.839206018981,7.56377604057425
"145",295,358886,4726778,2,164.712382839338,164.712382839338,100,189.600533908754,189.600533908754,100,188.12597027927,188.12597027927,100
"146",297,361863,4726789,2,30.6594892147901,32.687466515641,93.7958565865589,138.593344278642,140.501955820991,98.6415765309484,271.540106246568,293.681295243728,92.4608106284791
"147",297,361863,4726789,3,2.02797730085089,32.687466515641,6.20414341344104,1.9086115423489,140.501955820991,1.35842346905164,15.2137648580317,293.681295243728,5.18036562233412
"148",297,361863,4726789,5,NA,NA,NA,NA,NA,NA,6.92742413912845,293.681295243728,2.3588237491868
"149",298,362873,4726785,2,50.661860801124,50.661860801124,100,123.633977887886,123.633977887886,100,117.892107559806,117.892107559806,100
"150",301,355872,4725777,2,58.8518415042555,62.7937570374006,93.7224403840063,155.557520764516,157.52333895961,98.7520463900287,158.131154094813,158.131154094813,100
"151",301,355872,4725777,3,3.94191553314506,62.7937570374006,6.27755961599369,1.96581819509385,157.52333895961,1.24795360997135,NA,NA,NA
"152",303,357880,4725784,2,46.7308895434936,48.8223402611709,95.7162014223627,84.7624516982735,96.7895431733721,87.5739764020217,127.73816579821,143.085779614328,89.2738370944443
"153",303,357880,4725784,3,2.09145071767727,48.8223402611709,4.28379857763727,12.0270914750986,96.7895431733721,12.4260235979783,15.3476138161171,143.085779614328,10.7261629055556
"154",308,363877,4725797,2,42.3296755733259,59.2150649647815,71.4846392526998,63.589538748604,80.832843649416,78.667947182956,59.4117377364776,80.4077796685499,73.8880466310345
