"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"156",331,-4.492114,42.755925,"Olmos de Ojeda",34114,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"157",332,-4.479897,42.756083,"Olmos de Ojeda",34114,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"158",335,-4.516326,42.746601,"Payo de Ojeda",34124,"","","Se advierten daños en el tronco de importancia moderada causados por fuego"
"159",336,-4.491898,42.746922,"Olmos de Ojeda",34114,"","","No se advierten daños"
"160",338,-4.394179,42.748154,"Aguilar de Campoo",34004,"","","Se advierten daños en las hojas de importancia moderada causados por insectos"
"161",339,-4.381964,42.748302,"Aguilar de Campoo",34004,"","","No se advierten daños"
"162",341,-4.247591,42.749845,"Pomar de Valdivia",34135,"","","No se advierten daños"
"163",344,-4.296268,42.740299,"Aguilar de Campoo",34004,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"164",345,-4.222982,42.741105,"Aguilar de Campoo",34004,"","","No se advierten daños"
"165",351,-4.405581,42.711994,"Olmos de Ojeda",34114,"","","Se advierten daños en el tronco de pequeña importancia causados por insectos"
"166",352,-4.271288,42.713563,"Aguilar de Campoo",34004,"","","No se advierten daños"
"167",353,-4.259079,42.713698,"Aguilar de Campoo",34004,"","","No se advierten daños"
"168",354,-4.24687,42.713832,"Aguilar de Campoo",34004,"","","No se advierten daños"
"169",357,-4.271104,42.70456,"Alar del Rey",34005,"","","No se advierten daños"
"170",358,-4.246689,42.704828,"Aguilar de Campoo",34004,"","","No se advierten daños"
"171",361,-4.50259,42.683746,"Micieces de Ojeda",34107,"","","No se advierten daños"
"172",362,-4.35616,42.685574,"Pr�danos de Ojeda",34139,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"173",363,-4.343957,42.685718,"Pr�danos de Ojeda",34139,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"174",364,-4.331754,42.68586,"Pr�danos de Ojeda",34139,"","","No se advierten daños"
"175",365,-4.319551,42.686001,"Alar del Rey",34005,"","","No se advierten daños"
"176",366,-4.295144,42.68628,"Alar del Rey",34005,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"177",368,-4.502374,42.674744,"Collazos de Boedo",34061,"","","No se advierten daños"
"178",371,-4.102269,42.823377,"Pomar de Valdivia",34135,"","","No se advierten daños"
"179",381,-4.892451,42.659957,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"180",382,-4.880256,42.660158,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"181",383,-4.892178,42.650956,"Pino del R�o",34129,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"182",384,-4.879984,42.651157,"Pino del R�o",34129,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
