"ID","IDmuni","Especie","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
297,34091,26,33.8421587117237,0.878218008420727,3.65549149179381,12.907389389038,0.754520889648107,3.93431105656658,9.2926222527906,0.936763714459351,5.87535317110109,"P. pinaster"
298,34091,43,93.7538087210306,1.23334356679282,4.77322792112925,77.8428109366427,0.93775493198777,3.25304152152807,143.215146109599,2.06280805739276,8.04918336306823,"Q. pyrenaica"
299,34091,44,NA,NA,NA,2.81952842319951,0.022759649730552,0.0914191430390177,4.26609086076297,0.0488283532912229,0.17689529905234,"Q. faginea"
305,34093,21,NA,NA,NA,7.37134339326487,0.138775813784984,0.5780886471252,1.17624051491171,0.054808886336565,0.307204542707294,"P. sylvestris"
306,34093,25,NA,NA,NA,23.9762164415632,0.53995784749967,2.36279338307288,30.4204518517595,1.16143941916612,6.84415360620421,"P. nigra"
308,34093,26,18.522014766846,0.445061487395991,1.74639696657881,3.27966815640048,0.181583567981034,0.930860495256216,2.9161393086435,0.295244144340891,1.85781436216614,"P. pinaster"
309,34093,43,NA,NA,NA,57.6325589757763,0.928454687829167,3.8819022819204,87.0295160332207,1.45273472845447,6.24116588843257,"Q. pyrenaica"
310,34093,44,NA,NA,NA,NA,NA,NA,0.105926556969882,0.000970380100115707,0.00411607155610565,"Q. faginea"
314,34094,21,NA,NA,NA,20.6511761655359,0.55937847300531,2.69664579826656,7.75710793142613,0.342093580590022,1.96663978607265,"P. sylvestris"
317,34094,25,113.439848580454,1.44487008901279,4.3476556142993,155.148539334847,3.64446187973467,16.4008772403162,124.112738957499,4.71013663290035,27.7063406380878,"P. nigra"
319,34094,26,46.5765591403077,1.19138311481271,4.97465576105075,15.6298587283918,0.92839897078879,4.83314382334957,NA,NA,NA,"P. pinaster"
320,34094,43,19.3224142022762,0.239137449377095,0.897956482711758,29.686251866258,0.33233353433734,1.14017506564326,28.8304286126755,0.348524860906367,1.34508440481689,"Q. pyrenaica"
321,34094,44,NA,NA,NA,0.481381584284883,0.00386937266668387,0.0155141178349,8.12769074339413,0.0896170811556191,0.32817335116011,"Q. faginea"
326,34100,21,131.115481614752,2.30556703720884,9.68999533395715,222.456269724706,5.9669374574593,30.5599253495709,239.459850977369,9.65589899289738,57.925091742873,"P. sylvestris"
327,34100,25,NA,NA,NA,29.8831867375144,0.606930693454202,2.53118032379109,10.3945644169972,0.379654266933509,2.24937445306833,"P. nigra"
332,34100,43,NA,NA,NA,88.6466903363515,1.29487430921271,5.10019151786115,172.54987254978,2.80320271992979,12.0891039440803,"Q. pyrenaica"
333,34100,44,NA,NA,NA,NA,NA,NA,0.986891529393943,0.0135256118641126,0.0473002802016757,"Q. faginea"
339,34107,21,39.915091713257,0.62505382169848,2.29030858831567,46.7942513553774,1.20244825973278,6.01946908550511,36.3421273924095,1.47451497286777,8.82186401019053,"P. sylvestris"
341,34107,25,NA,NA,NA,49.1123321040746,1.16363753081939,5.36554291066937,40.0480964084188,1.52396912751008,8.98035984427709,"P. nigra"
343,34107,26,20.5106787342285,0.55082577960623,2.2302719362614,5.27538235516375,0.308716410610046,1.60546142539284,3.93712006701649,0.402426240900635,2.53573609919345,"P. pinaster"
345,34107,43,NA,NA,NA,110.816794299455,1.67973469544761,6.69131063672423,145.634499680481,2.22652008797337,8.98972269176137,"Q. pyrenaica"
346,34107,44,NA,NA,NA,NA,NA,NA,0.256765686139995,0.00293730577021174,0.0111758951825575,"Q. faginea"
352,34109,25,NA,NA,NA,NA,NA,NA,6.649994108974,0.253851037502421,1.49880571848258,"P. nigra"
354,34109,44,NA,NA,NA,NA,NA,NA,0.140189234742339,0.00151149402532222,0.00558733952516238,"Q. faginea"
358,34110,21,NA,NA,NA,7.27651356719228,0.198055615879898,1.02309248734383,4.11908976571392,0.16743802306738,0.988540902496273,"P. sylvestris"
360,34110,42,NA,NA,NA,40.613554805414,1.69575609582683,9.37366962383562,4.45202585492305,0.252708507226478,1.44464491832476,"Q. petraea"
361,34110,43,NA,NA,NA,145.063586802862,2.44526399022206,10.3410668768395,227.952909152615,4.11918825056111,18.5138176843854,"Q. pyrenaica"
372,34113,21,NA,NA,NA,2.68292061709553,0.0557464168362858,0.240642547579091,2.62136176661831,0.108094938162121,0.642683931372748,"P. sylvestris"
373,34113,25,NA,NA,NA,3.8093323551216,0.0754856155371588,0.293681387069324,10.4169403472533,0.396769670136418,2.33793525037215,"P. nigra"
375,34113,26,NA,NA,NA,0.864218502849796,0.0464012498097104,0.240086094555813,1.04042074874453,0.107867776653736,0.683673801604125,"P. pinaster"
376,34113,43,NA,NA,NA,64.7558616590835,0.827907147153453,2.86189288506275,96.4056552152394,1.39821056121712,5.34415699587729,"Q. pyrenaica"
379,34114,21,45.7152909711947,0.667607302112081,2.38195807536986,44.1312338837451,1.0631512914081,5.19093534972286,35.7474771205524,1.4536349268396,8.65841937811123,"P. sylvestris"
381,34114,25,40.8851395911556,0.480721990242029,1.40741648343011,42.4223332318212,0.960751889476576,4.31754764335807,51.4384125022426,1.93324166950591,11.3275315786951,"P. nigra"
383,34114,26,NA,NA,NA,5.56678481775167,0.308727098112426,1.5888940694665,5.06315140903618,0.50902613929372,3.18082306862263,"P. pinaster"
385,34114,42,NA,NA,NA,9.94033603825201,0.425444936591399,2.31453450265948,8.62599596062824,0.356433173685191,2.11029181009673,"Q. petraea"
386,34114,43,49.6612292229053,0.629774096311906,2.52149295589883,59.7158595629091,0.882690371791897,3.4837319112254,92.32968464887,1.44513041387164,6.08644474071186,"Q. pyrenaica"
387,34114,44,NA,NA,NA,14.1366910300715,0.136476568202742,0.52555067388301,12.7599628686109,0.143744165129163,0.522476566849408,"Q. faginea"
396,34122,21,65.2200560034705,1.16449698427166,4.91109621695986,15.6784968926933,0.362744479145297,1.72804591795448,9.87277168561327,0.415243339162415,2.44983151581941,"P. sylvestris"
397,34122,25,49.5000067225985,0.666810987124778,2.18054197612773,107.554809762787,2.55787967388626,11.6693325403535,74.5600518729897,2.83810646060561,16.718699481174,"P. nigra"
399,34122,26,19.5664491002585,0.480077701251416,1.91610574678305,9.65133725299414,0.569664392633265,2.93527020504503,7.1570011117425,0.723443518766692,4.54940617826499,"P. pinaster"
400,34122,43,5.13911254165532,0.0580387806715038,0.226350876798933,10.6849019092215,0.107130315581393,0.376954216804659,13.1617161584536,0.144328044610816,0.512643813542047,"Q. pyrenaica"
403,34124,21,NA,NA,NA,17.1531035898635,0.337084762930039,1.49719909346881,50.300338502497,2.026434946987,12.0247851981648,"P. sylvestris"
404,34124,25,NA,NA,NA,15.7431521222588,0.36021876129061,1.67861907725409,61.6359616126531,2.3562903443863,13.9414494308184,"P. nigra"
406,34124,26,NA,NA,NA,2.36057781808747,0.122253067044969,0.619060657910512,5.8139472041486,0.593650901284943,3.72979358612719,"P. pinaster"
407,34124,42,NA,NA,NA,10.050409112129,0.454561073341311,2.37306259050321,1.77812768331946,0.0975901187717018,0.556975626199303,"Q. petraea"
408,34124,43,66.241021677226,0.846220989642777,3.43003236694956,56.732629907892,0.81701283925474,3.20624905391291,140.323979815428,2.27455264669082,9.69050114158662,"Q. pyrenaica"
413,34126,21,NA,NA,NA,1.0725214370727,0.0277527763862561,0.128735658646035,2.15907756158852,0.0869551515851887,0.520086015940476,"P. sylvestris"
