"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
220,-4.892724,42.668957,"A","1",NA,NA,3405,"Guardo","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
223,-4.835453,42.79596,NA,NA,NA,NA,3405,"Guardo","Guardo",34080,"","","Valdecastro","Ayto. de Guardo","Sí","Sí"
224,-4.786564,42.796734,"A","1",NA,NA,3405,"Guardo","Santibáñez de la Peña",34171,"","","Alto","E.L.M. de Villanueva de Arriba","Sí","Sí"
231,-4.602519,42.772443,"A","4",NA,NA,3406,"Cervera","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
233,-4.54141932,42.77362686,NA,NA,"A","1",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,E.L.M.","Sí","Sí"
235,-4.724451,42.761666,"A","1",NA,NA,3405,"Guardo","Respenda de la Peña",34151,"","","Arriba","E.L.M. de Fontecha de la Peña","No","No"
238,-4.565635,42.763948,"A","4",NA,NA,3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
239,-4.553418,42.764114,"A","4C","A","4",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
240,-4.5412,42.76428,"A","4C",NA,NA,3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
243,-4.61427,42.754268,"A","1",NA,NA,3406,"Cervera","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
244,-4.602055,42.754439,"A","3E",NA,NA,3406,"Cervera","Castrejónde la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
246,-4.577624,42.754778,"A","4","A","1",3406,"Cervera","Castrejón de la Peña",34049,"","","Alto","E.L.M. de Castrejon de la Peña","Sí","Sí"
247,-4.565409,42.754946,"A","4C","A","1",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
248,-4.553193,42.755112,"A","4C","A","4",3406,"Cervera","Castrejónde la Peña",34049,"","","Indiviso","Ayto. de Castrejónde la Peña,E.L.M. de Villanueva de la Peña,E.L.M. de Traspeña de la Peña,E.L.M. de Cubillo de Castrejon,E.L.M. de Loma de Castrejon,E.L.M. de Recueva de la Peña,E.L.M. de Pison de Castrejon,E.L.M. de Castrejon de la Peña,","Sí","Sí"
249,-4.540977,42.755277,"A","4C","A","4",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","El Quiñon","E.L.M. de Castrejónde la Peña","No","No"
