"ID","IDmuni","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"90",34122,2,112.0537139294,120.941944194207,92.6508290204639,143.034680032924,152.864078973208,93.569843872865,198.13570957204,227.193563636936,87.2100892297585
"91",34122,3,8.88823026480738,120.941944194207,7.34917097953605,9.82939894028415,152.864078973208,6.43015612713496,29.0578540648961,227.193563636936,12.7899107702415
"92",34124,2,NA,NA,NA,3.41091324737965,3.41091324737965,100,32.1715931591711,32.1715931591711,100
"93",34124,3,1.656286779909,1.656286779909,100,NA,NA,NA,NA,NA,NA
"94",34129,2,77.2246296236922,86.5474195597245,89.2281133470434,119.493524558235,129.141551733771,92.5291069791193,107.989841100574,149.568740544154,72.2008092785233
"95",34129,3,5.09005929706633,86.5474195597245,5.88123750304743,9.64802717553527,129.141551733771,7.47089302088067,31.1095647516337,149.568740544154,20.7995097360934
"96",34129,4,NA,NA,NA,NA,NA,NA,3.38389568919079,149.568740544154,2.26243510300324
"97",34129,5,4.23273063896599,86.5474195597245,4.89064914990918,NA,NA,NA,7.0854390027556,149.568740544154,4.73724588238001
"98",34135,2,11.0395617293503,19.1737960422551,57.5762968638099,41.0842157284864,45.5465892905015,90.2026175142258,89.1174174189154,114.843362365922,77.5991015788647
"99",34135,3,8.13423431290488,19.1737960422551,42.4237031361901,4.46237356201511,45.5465892905015,9.79738248577423,25.7259449470065,114.843362365922,22.4008984211353
"100",34136,3,NA,NA,NA,17.8015908029912,29.3307034376826,60.6926828086935,45.0266701579147,70.7688406728175,63.6249933301643
"101",34136,4,NA,NA,NA,11.5291126346913,29.3307034376826,39.3073171913065,20.4657134581168,70.7688406728175,28.9191023387469
"102",34136,5,NA,NA,NA,NA,NA,NA,5.27645705678593,70.7688406728175,7.4559043310888
"103",34139,2,43.0687710003064,51.1198232729273,84.2506257706788,144.634881126549,172.673365014442,83.7621257421214,4.89125116634302,229.822191486763,2.12827627075549
"104",34139,3,8.05105227262093,51.1198232729273,15.7493742293211,28.0384838878929,172.673365014442,16.2378742578786,224.93094032042,229.822191486763,97.8717237292445
"105",34140,2,16.0182884164565,24.4073852234309,65.6288589286453,78.2642124907721,88.4611471453636,88.4729793998314,77.9780241935065,90.7032996061801,85.9704382663864
"106",34140,3,8.38909680697442,24.4073852234309,34.3711410713547,10.1969346545916,88.4611471453636,11.5270206001686,12.7252754126736,90.7032996061801,14.0295617336136
"107",34151,2,41.8743276622632,54.517392269169,76.8091170896744,62.2256346301518,81.4652619604875,76.3830289532889,74.3593057722968,100.302613008287,74.1349637283658
"108",34151,3,6.02221624619048,54.517392269169,11.0464128886741,10.9566488179209,81.4652619604875,13.4494734985755,18.329833850644,100.302613008287,18.274532737377
"109",34151,4,6.62084836071541,54.517392269169,12.1444700216515,8.2829785124148,81.4652619604875,10.1674975481356,7.61347338534645,100.302613008287,7.59050353425729
"110",34154,2,208.460608644367,216.892866671467,96.11224741666,68.5209156850292,71.4991630365147,95.8345703292156,7.16902318017601,10.1523804198764,70.6142095122876
"111",34154,3,8.43225802710006,216.892866671467,3.88775258333996,2.97824735148547,71.4991630365147,4.16542967078436,2.98335723970042,10.1523804198764,29.3857904877123
"112",34157,2,44.9646769288405,44.9646769288405,100,75.6473336918983,83.5806272376874,90.5082148722954,80.0744982806998,118.857400279004,67.3702252385922
"113",34157,3,NA,NA,NA,7.93329354578906,83.5806272376874,9.49178512770463,26.6404567594617,118.857400279004,22.4137972872757
"114",34157,4,NA,NA,NA,NA,NA,NA,7.01901355598162,118.857400279004,5.90540726913538
"115",34157,5,NA,NA,NA,NA,NA,NA,5.12343168286048,118.857400279004,4.31057020499677
"116",34158,2,NA,NA,NA,39.9741767464668,42.4110808407172,94.2540863238014,NA,NA,NA
"117",34158,3,NA,NA,NA,2.43690409425042,42.4110808407172,5.74591367619861,NA,NA,NA
"118",34168,2,NA,NA,NA,1.04549009441021,1.04549009441021,100,NA,NA,NA
"119",34169,2,17.5613051072373,35.1522478100897,49.9578439538558,93.2129854115297,101.803886792658,91.5613228023159,26.353571440335,145.588956089846,18.1013533911677
"120",34169,3,13.8911664805218,35.1522478100897,39.5171499574335,4.2776114374061,101.803886792658,4.20181544356772,93.8445420285726,145.588956089846,64.4585582237841
"121",34169,4,NA,NA,NA,2.49352187370593,101.803886792658,2.44933857857946,9.24084253094516,145.588956089846,6.34721395024116
"122",34169,5,3.6997762223306,35.1522478100897,10.5250060887106,1.81976807001615,101.803886792658,1.78752317553694,16.1500000899928,145.588956089846,11.092874434807
"123",34171,2,46.5003925251846,58.2884235576452,79.7763770008248,64.6220838798526,82.1625626870411,78.6514949953538,124.468837121565,154.085813596894,80.7789076852913
"124",34171,3,8.81715312461497,58.2884235576452,15.126765464664,8.08681683542935,82.1625626870411,9.84245935248174,22.1028084948557,154.085813596894,14.3444798576196
"125",34171,4,2.97087790784562,58.2884235576452,5.09685753451116,7.19959486392619,82.1625626870411,8.76262208537676,5.49522329841385,154.085813596894,3.56633954167252
"126",34171,5,NA,NA,NA,2.25406710783304,82.1625626870411,2.74342356678774,2.01894468205951,154.085813596894,1.31027291541666
"127",34176,2,58.5476000837217,81.9405463859462,71.4513176516521,102.326819335268,117.514853182061,87.0756475155851,40.809270417316,96.8336997175093,42.1436654143836
"128",34176,3,20.771894474497,81.9405463859462,25.3499584645919,15.1880338467922,117.514853182061,12.9243524844149,50.2787619322007,96.8336997175093,51.9227934891239
"129",34176,4,1.93486209605211,81.9405463859462,2.36129996856351,NA,NA,NA,5.74566736799262,96.8336997175093,5.93354109649257
"130",34176,5,0.68618973167534,81.9405463859462,0.837423915192528,NA,NA,NA,NA,NA,NA
"131",34179,2,42.3503701137916,42.3503701137916,100,110.641415780884,115.001589234065,96.208597218334,70.8150915204112,80.0628437825971,88.4493832278838
"132",34179,3,NA,NA,NA,4.36017345318043,115.001589234065,3.791402781666,9.24775226218588,80.0628437825971,11.5506167721162
"133",34190,2,1.33053262498041,3.50798597883372,37.9286756848089,NA,NA,NA,4.27342160328796,27.8255994897261,15.3578779313122
"134",34190,3,2.17745335385331,3.50798597883372,62.0713243151911,12.6850054714966,13.9584921661745,90.8766170477644,12.4769599842616,27.8255994897261,44.8398604632701
"135",34190,4,NA,NA,NA,1.2734866946779,13.9584921661745,9.12338295223558,6.09842372221758,27.8255994897261,21.9165941940237
"136",34190,5,NA,NA,NA,NA,NA,NA,4.97679417995897,27.8255994897261,17.8856674113941
"137",34199,2,66.0575361999711,143.23594974989,46.1179866613912,79.6736819516342,92.228910020053,86.3868844750643,106.645738223173,128.288778567103,83.129436116184
"138",34199,3,23.5080215307513,143.23594974989,16.4120959659915,9.23207333412486,92.228910020053,10.009956023678,11.248530263685,128.288778567103,8.76813263741638
"139",34199,4,16.1336517662732,143.23594974989,11.2636888954518,3.32315473429395,92.228910020053,3.60315950125769,5.84002317682021,128.288778567103,4.55224785990578
"140",34199,5,29.6465056595339,143.23594974989,20.6976710185543,NA,NA,NA,4.55448690342514,128.288778567103,3.55018338649382
"141",34199,6,7.89023459336006,143.23594974989,5.50855745861114,NA,NA,NA,NA,NA,NA
"142",34208,2,77.4826452934427,77.4826452934427,100,92.8636728000388,104.943248793647,88.4894205844905,127.796572545535,192.575018950841,66.3619680484919
"143",34208,3,NA,NA,NA,9.2013543407574,104.943248793647,8.76793357031501,60.7909595900591,192.575018950841,31.5674171661784
"144",34208,4,NA,NA,NA,2.87822165285107,104.943248793647,2.74264584519448,3.98748681524777,192.575018950841,2.07061478532979
"145",34214,2,144.291756206717,146.431461329014,98.538766804021,131.250278386649,137.828102316088,95.2275161459062,131.479703662557,210.363372189554,62.5012340760937
"146",34214,3,2.13970512229663,146.431461329014,1.46123319597895,3.46416967443706,137.828102316088,2.51339865834654,67.5673058860921,210.363372189554,32.1193300824293
"147",34214,4,NA,NA,NA,3.11365425500214,137.828102316088,2.25908519574727,11.3163626409046,210.363372189554,5.37943584147703
"148",34222,2,43.7632746813977,86.184723331352,50.7784593252591,50.7537838370767,56.5250468553048,89.7899013989291,67.4832256349715,116.68473727606,57.833806897397
"149",34222,3,39.3692104009748,86.184723331352,45.6800333971174,5.77126301822815,56.5250468553048,10.2100986010709,43.6957557299133,116.68473727606,37.4477046012755
"150",34222,4,3.05223824897957,86.184723331352,3.54150727762357,NA,NA,NA,3.71351234991613,116.68473727606,3.18251764250064
"151",34222,5,NA,NA,NA,NA,NA,NA,1.79224356125892,116.68473727606,1.53597085882682
"152",34228,2,28.7944359221879,43.4011829168419,66.3448182446062,84.1566571664397,91.9200461318652,91.5541937889278,41.5738680648941,127.414553572906,32.628822139306
"153",34228,3,12.7621041258919,43.4011829168419,29.4049684091434,5.08100269540069,91.9200461318652,5.52763288228953,72.6178346625969,127.414553572906,56.9933595702202
"154",34228,4,NA,NA,NA,NA,NA,NA,13.2228508454146,127.414553572906,10.3778182904738
"155",34228,5,1.84464286876216,43.4011829168419,4.25021334625039,2.68238627002479,91.9200461318652,2.91817332878264,NA,NA,NA
"156",34229,2,2.93575147925727,4.91498776340599,59.7305958951736,1.83798653635187,1.83798653635187,100,2.6704864868929,2.6704864868929,100
"157",34229,3,1.97923628414873,4.91498776340599,40.2694041048264,NA,NA,NA,NA,NA,NA
"158",34231,2,23.8068842789321,37.6823736802516,63.1777724008102,60.8530674732042,70.042079708876,86.8807261665199,82.6759638868482,148.856504947418,55.5407127932048
"159",34231,3,13.8754894013194,37.6823736802516,36.8222275991898,9.18901223567183,70.042079708876,13.1192738334801,50.117887922363,148.856504947418,33.6685910636331
"160",34231,4,NA,NA,NA,NA,NA,NA,11.2868577784465,148.856504947418,7.58237457102295
"161",34231,5,NA,NA,NA,NA,NA,NA,4.77579535976031,148.856504947418,3.20832157213909
"162",34234,2,15.2208498155159,20.3023942157502,74.9707135708546,72.9264801751364,80.9524357359143,90.0855910167294,61.5185792489704,128.772588240753,47.7730393474388
"163",34234,3,5.08154440023438,20.3023942157502,25.0292864291454,8.02595556077783,80.9524357359143,9.91440898327058,57.7660330125056,128.772588240753,44.8589515840951
