"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","DamageNFI2","DamageNFI2_EN"
1083,42.763611,-4.59007,"N","N","A","1",NA,NA
1084,42.753211,-4.687559,"N","N","A","1",NA,NA
1085,42.74176,-4.846069,"N","N",NA,NA,NA,NA
1086,42.745093,-4.62625,"N","N","A","1",NA,NA
1087,42.735387,-4.674859,"N","N",NA,NA,NA,NA
1088,42.726026,-4.699035,"N","N",NA,NA,NA,NA
1089,42.715148,-4.820857,"N","N",NA,NA,NA,NA
1090,42.717205,-4.686582,"N","N",NA,NA,NA,NA
1091,42.70856,-4.661927,"N","N","A","1",NA,NA
1093,42.699735,-4.649483,"N","N",NA,NA,NA,NA
1098,42.829326,-4.383768,"N","N",NA,NA,NA,NA
1099,42.82135558,-4.29804241,NA,NA,"A","4C",NA,NA
1100,42.810566,-4.444504,"N","N","A","1",NA,NA
1101,42.811321,-4.383367,"N","N","A","1",NA,NA
1105,42.784015,-4.40721,"N","N","A","1",NA,NA
1110,42.738078,-4.479469,"N","N",NA,NA,NA,NA
1112,42.7229867,-4.23492091,NA,NA,"A","1",NA,NA
1113,42.723228,-4.210417,"N","N","A","1",NA,NA
1117,42.692908,-4.490604,"N","N","A","1",NA,NA
1120,42.813769,-4.163255,"N","N",NA,NA,NA,NA
1121,42.805487,-4.089721,"N","N",NA,NA,NA,NA
1122,42.787125,-4.126078,"N","N","A","1",NA,NA
1123,42.75063966,-4.17437398,NA,NA,"A","1",NA,NA
1126,42.656416,-4.526333,"N","N","A","1",NA,NA
1127,42.647251,-4.538308,"N","N","A","1",NA,NA
1130,42.61142266,-4.52531823,NA,NA,"A","1",NA,NA
1132,42.591182,-4.683179,"N","N",NA,NA,NA,NA
1133,42.59190542,-4.63453351,NA,NA,"A","1",NA,NA
1134,42.580707,-4.780382,"N","N","A","1",NA,NA
1135,42.573534,-4.658336,"N","N",NA,NA,NA,NA
1137,42.563266,-4.743339,"N","N","A","1",NA,NA
1138,42.554815,-4.706563,"N","N",NA,NA,NA,NA
1139,42.546528,-4.657621,"N","N",NA,NA,NA,NA
1140,42.536811,-4.706072,"N","N","A","1",NA,NA
1141,42.53839,-4.596519,"N","N","A","1",NA,NA
