"ID","IDmuni","Area_ha","Alimentos","Madera","Leña","Pastos","Agua","Recreativo","Caza","SedimentaEvitaEmbalses","CarbonoSupForestal","CarbonoArbolado","CarbonoMatorral","DiversidadBiologica"
"48",34161,113.560337804736,1574.68724427803,1042.11700087782,244.844263208199,287.556305448036,52446.5675233684,121.033518244451,413.120291429994,1351.50681672431,8200.51952978489,7855.51263907001,345.176565458867,3308.0782129222
"49",34168,549.959184569294,5563.02351643972,2779.01356936893,1332.0929367259,1451.12284932431,274993.427878482,671.93003029695,2001.66030653824,7106.18476251069,34876.8382810356,33086.0395066724,1791.53157254731,17162.5589201057
"50",34169,1457.27068428834,55387.4689083527,50206.9491890033,1281.6854101952,3898.83430915415,473776.705732385,708.164218540322,5264.61919229744,12415.2667837818,200877.239239451,197760.839487171,3116.35466355854,34669.6595979539
"51",34170,203.281980258579,9290.25268970441,8598.47627331998,37.5114397091409,654.264976675291,45697.318634362,26.2046920613739,734.540804290939,1405.37834714689,31695.0284539496,31329.3364059985,365.692047951129,4472.03421321159
"52",34171,3730.16006317596,62689.6707569373,46197.5347770912,7985.53012721273,8506.53426905222,2247259.93464128,5917.04409192568,13525.1478399153,52840.0651665284,338687.432394075,326765.958115137,11911.4101794984,117364.970094624
"53",34176,641.951800124449,10606.8439511317,7669.7001137607,1473.18814430847,1463.95569306255,324219.174310324,765.735046991534,2331.65051200478,7972.86904758795,52873.6984890195,50932.3810546949,1941.31742287965,18996.0135333735
"54",34179,763.729565764746,13870.5960666018,10373.6405719568,1630.95226274207,1866.00323190293,405463.161871115,994.977854110484,2770.54563180416,9922.22953700692,68679.9745741154,66338.948750102,2340.17581628313,23340.1503362232
"55",34190,862.88718153027,7777.67618180014,3293.33369652641,2203.89570071986,2280.33511632966,459498.314517741,1162.15308747995,3140.58344923431,11947.5141034807,52999.8063673835,50155.8504935917,2843.88480963631,28159.4497791354
"56",34199,5941.31795544729,165273.198189713,147921.610904322,6316.40203076594,11030.6072150542,3892472.63707076,11353.9621220927,21451.5091963046,84743.0659235406,781774.774124596,765194.075629351,16546.6205771764,168398.954056322
"57",34202,320.899505199958,1944.65100151175,147.613772391981,956.280525495876,840.756703623891,188406.517493,494.185238007936,1168.07419892785,4765.35765221938,18021.7162120297,16872.8959834138,1148.82022861585,11160.8847908546
"58",34208,1099.7843075615,48649.9373877204,46539.2481248178,248.461657332726,1862.22760556996,419835.994713895,741.788565720411,3968.32019300904,8822.54250040866,175620.930121218,173667.856951782,1949.650173771,20542.7115512557
"59",34211,34.304430298217,1686.94012867039,1603.36522239268,5.55558672430256,78.0193195534024,8189.49275318579,4.01714909317491,123.628770554486,202.534812343617,5688.25239972425,5635.38054893438,52.8718507898618,622.697698559402
"60",34214,1043.2879145033,32774.3891524196,29848.9312688642,973.337117860287,1952.1207656952,652587.867091862,1727.29622346178,3764.76039010145,13877.4487854411,143926.730663625,141133.137306386,2786.53063722712,28119.3797355002
"61",34218,1.81971848211715,91.3316706174598,85.4539799202214,0.181971848211715,5.69571884902668,404.286855171967,0.163774663390544,6.55098653562174,11.9555504275097,308.933606709029,305.84008528943,3.09352141959916,39.4151023226575
"62",34222,1910.51492896022,34148.722284746,25418.2564897041,3731.48495436336,4998.87952597024,881868.338632299,2026.0727185762,6954.7012559802,22753.8993452919,160807.119951501,155235.721298035,5570.9946772588,55281.267140349
"63",34228,1216.58740914601,45985.0607168773,41797.8659792854,884.160262202704,3303.03447538921,410226.616156927,668.784296923053,4400.1173819072,10666.3685278663,168132.695898541,165530.248625386,2601.38718107852,28792.780866718
"64",34229,761.275090952064,7922.50070732541,4012.10281709155,2049.40380553494,1860.99408469891,422157.57121243,1066.06660484005,2768.62490261167,10525.7317423827,51068.2492184338,48523.5803425471,2544.64001209258,24731.1158927711
"65",34231,816.921472200534,26558.5649190379,23431.6091785626,975.610253741914,2151.34548673339,296203.298003339,523.280663845763,2957.02551598677,7698.00274825339,100591.705272747,98672.2924890444,1919.40208061798,20553.124943125
"66",34233,19.5799960445705,923.298906371807,864.871137591443,5.79577109604322,52.6319976843207,4918.62241703145,3.65583143171644,70.5697151817354,131.70647399271,3158.45580022595,3124.5448406139,33.9109596120575,405.808435909005
"67",34234,1439.77707197206,50141.6484333233,45021.4780816468,1298.29976532591,3821.87058635054,479424.494635447,772.283273800732,5216.42968881883,12621.2366724069,184709.655270123,181555.561275985,3153.68782540207,34034.5956185606
"68",34245,3956.38381982666,131289.364198726,118548.682496249,4413.89614098807,8326.49273612154,1487450.30422394,2652.59212653436,14321.9017816711,35579.4864383457,495004.036164647,486233.056508132,8769.47944952561,90084.5523635404
"69",34901,314.555989197477,14189.6245222619,13258.6440347358,129.601199216731,801.379288309407,88791.03198418,95.9410465127197,1134.17574034116,2273.00731383284,49339.3922632343,48768.2940438904,570.98654189819,6626.06575439796
"70",34903,1211.91001290624,47029.8647660539,42455.8263402282,778.953672059801,3795.08475376593,343214.397740191,435.978498610654,4386.25894814231,9968.04586905738,167551.678278237,165011.632397433,2540.04588080398,29183.3464206249
