"ID","Estadillo","CoorX","CoorY","IDComarca","Comarca","Municipio","IDMuni","EspacioProtegido","FiguraProteccion","MUP","tipo_prop","pertenenci","deslindado","amojonado"
"100",495,357928,4712810,3403,"Saldaña-Valdavia","Saldaña",34157,"No","No","Barrio","Ayto.","Ayto. de Saldaña","No","No"
"101",499,365895,4711778,3403,"Saldaña-Valdavia","Saldaña",34157,"No","No","Cuestas de Prado y Paracuetos","E.L.M.","E.L.M. de Valenoso","No","No"
"102",504,347892,4709783,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","La Cerra","Ayto.","Ayto. de Villota del Páramo","Sí","Sí"
"103",508,368879,4708799,3402,"Campos","Loma de Ucieza",34903,"No","No","Morcorio","E.L.M.","E.L.M. de Villota del Duque","Sí","Sí"
"104",514,368910,4707768,3402,"Campos","Loma de Ucieza",34903,"No","No","Morcorio","E.L.M.","E.L.M. de Villota del Duque","Sí","Sí"
"105",527,381904,4719769,3404,"Boedo-Ojeda","Dehesa de Romanos",34068,"No","No","Fuente Ortuño","Ayto.","Ayto. de Dehesa de Romanos","No","No"
"106",528,375897,4717807,3404,"Boedo-Ojeda","Collazos de Boedo",34061,"No","No","Gallillo","E.L.M.","E.L.M. de Collazos de Boedo","Sí","Sí"
"107",530,375915,4716812,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"No","No","Páramo y Majada","Ayto.","Ayto. de Villasila de Valdavia","Sí","Sí"
"108",532,376914,4715806,3403,"Saldaña-Valdavia","Villameriel",34222,"No","No","Corral y Agregados","E.L.M.","E.L.M. de San Martin del Monte","Sí","Sí"
"109",534,375886,4714758,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"No","No","Páramo y Majada","Ayto.","Ayto. de Villasila de Valdavia","Sí","Sí"
"110",536,381923,4714793,3404,"Boedo-Ojeda","Páramo de Boedo",34122,"No","No","Fuentepila","E.L.M.","E.L.M. de Páramo de Boedo","Sí","Sí"
"111",537,382949,4714815,3404,"Boedo-Ojeda","Páramo de Boedo",34122,"No","No","Fuentepila","E.L.M.","E.L.M. de Páramo de Boedo","Sí","Sí"
"112",539,375907,4713789,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"No","No","Páramo y Majada","Ayto.","Ayto. de Villasila de Valdavia","Sí","Sí"
"113",54,357918,4751766,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Alambral","Ayto.","Ayto. de Velilla del Río Carrión","No","No"
"114",542,380917,4713787,3403,"Saldaña-Valdavia","Villameriel",34222,"No","No","Corral y Agregados","E.L.M.","E.L.M. de San Martin del Monte","Sí","Sí"
"115",549,383915,4712820,3404,"Boedo-Ojeda","Calahorra de Boedo",34041,"No","No","Mayor y Rebollo","Ayto.","Ayto. de Calahorra de Boedo","Sí","Sí"
"116",553,376886,4710778,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"No","No","Arriba","Ayto.","Ayto. de Villanuño de Valdavia","Sí","Sí"
"117",555,376889,4709803,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"No","No","Arriba","Ayto.","Ayto. de Villanuño de Valdavia","Sí","Sí"
"118",557,375873,4708781,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"No","No","Arriba","Ayto.","Ayto. de Villanuño de Valdavia","Sí","Sí"
"119",576,345836,4697773,3403,"Saldaña-Valdavia","Lagartos",34091,"No","No","Tordillos","E.L.M.","E.L.M. de Terradillos de los Templarios","Sí","Sí"
"120",578,346837,4696847,3403,"Saldaña-Valdavia","Lagartos",34091,"No","No","Tordillos","E.L.M.","E.L.M. de Terradillos de los Templarios","Sí","Sí"
"121",581,347913,4706774,3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"No","No","Cuestas Grandes","E.L.M.","E.L.M. de Santervas de la Vega","No","No"
"122",599,347828,4694857,3403,"Saldaña-Valdavia","Ledigos",34094,"No","No","Carraco, Matalavilla y Roturos","Ayto.","Ayto. de Ledigos","No","No"
"123",602,347874,4692812,3403,"Saldaña-Valdavia","Ledigos",34094,"No","No","Carraco, Matalavilla y Roturos","Ayto.","Ayto. de Ledigos","No","No"
"124",623,383887,4701819,3402,"Campos","Espinosa de Villagonzalo",34071,"No","No","Bayala","Ayto.","Ayto. de Espinosa de Villagonzalo","Sí","Sí"
"125",627,383918,4700770,3402,"Campos","Espinosa de Villagonzalo",34071,"No","No","Bayala","Ayto.","Ayto. de Espinosa de Villagonzalo","Sí","Sí"
"126",66,365937,4749769,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Canavigel","Ayto.","Ayto. de Cervera de Pisuerga","No","No"
"127",69,349879,4748713,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Campana del Horno, Campana Cortina y Campana la Llana","Ayto.","Ayto. de Velilla del Río Carrión","No","No"
"128",72,357892,4748794,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Valderinas","Ayto.","Ayto. de Velilla del Río Carrión","No","No"
"129",90,372951,4747849,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Celada y Montealegre","E.L.M.","E.L.M. de Ventanilla","No","No"
"130",94,358890,4746728,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Cueto Palomo y Hornalejo","Ayto.","Ayto. de Velilla del Río Carrión","No","No"
