"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
62,42.887497,-4.740199,"A","4","A","1",121,"Rubus spp.",NA,NA,NA,NA,1,1
62,42.887497,-4.740199,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,15,2,5,2
62,42.887497,-4.740199,"A","4","A","1",2102,"Erica australis",NA,NA,75,16,NA,NA
67,42.890308,-4.544335,"A","1",NA,NA,102,"Erica spp.",30,15,NA,NA,NA,NA
67,42.890308,-4.544335,"A","1",NA,NA,106,"Calluna vulgaris",50,3,30,3,NA,NA
67,42.890308,-4.544335,"A","1",NA,NA,2102,"Erica australis",NA,NA,15,15,NA,NA
67,42.890308,-4.544335,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,3,5,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",102,"Erica spp.",65,10,NA,NA,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",104,"Other papilionoid shrubs (Ht<1.5m)",15,5,NA,NA,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",107,"Arctostaphylos uva-ursi",5,2,NA,NA,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",117,"Halimium spp.",10,4,5,4,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",136,"Chamaespartium tridentatum",NA,NA,10,5,5,3
68,42.87624031,-4.85072573,NA,NA,"A","1",137,"Vaccinium myrtillus",NA,NA,NA,NA,5,2
68,42.87624031,-4.85072573,NA,NA,"A","1",2102,"Erica australis",NA,NA,80,12,80,14
70,42.878121,-4.764423,NA,NA,NA,NA,102,"Erica spp.",50,13,NA,NA,NA,NA
70,42.878121,-4.764423,NA,NA,NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",20,10,NA,NA,NA,NA
70,42.878121,-4.764423,NA,NA,NA,NA,106,"Calluna vulgaris",10,3,NA,NA,NA,NA
70,42.878121,-4.764423,NA,NA,NA,NA,107,"Arctostaphylos uva-ursi",10,2,NA,NA,NA,NA
70,42.878121,-4.764423,NA,NA,NA,NA,119,"Rosa spp.",5,4,NA,NA,NA,NA
71,42.878309,-4.752185,"A","1",NA,NA,102,"Erica spp.",40,10,NA,NA,NA,NA
71,42.878309,-4.752185,"A","1",NA,NA,137,"Vaccinium myrtillus",NA,NA,20,3,NA,NA
71,42.878309,-4.752185,"A","1",NA,NA,2102,"Erica australis",NA,NA,40,12,NA,NA
73,42.878866,-4.715468,NA,NA,NA,NA,102,"Erica spp.",50,15,NA,NA,NA,NA
73,42.878866,-4.715468,NA,NA,NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",50,15,NA,NA,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C",102,"Erica spp.",60,15,70,3,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C",104,"Other papilionoid shrubs (Ht<1.5m)",10,4,NA,NA,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C",106,"Calluna vulgaris",NA,NA,NA,NA,6,3
77,42.8678215,-4.8501191,NA,NA,"A","4C",117,"Halimium spp.",20,6,5,4,2,2
77,42.8678215,-4.8501191,NA,NA,"A","4C",136,"Chamaespartium tridentatum",NA,NA,8,4,3,2
77,42.8678215,-4.8501191,NA,NA,"A","4C",2102,"Erica australis",NA,NA,15,12,40,12
