"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
191,42.83818,-4.396202,"A","3E",NA,NA,"37","Juniperus communis",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","1","Seed",NA,NA,NA,NA,NA,40,NA,2,"5–15 stems",3,">15 stems",NA,NA
191,42.83818,-4.396202,"A","3E",NA,NA,"43","Quercus pyrenaica",NA,2,NA,0,NA,"2","Thicket",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,70,50,NA,NA,NA,3,">15 stems",NA,NA
192,42.839607,-4.273869,"A","1",NA,NA,"25","Pinus nigra",27,44,NA,30,NA,NA,NA,4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,NA,100,NA,1,"1–4 stems",NA,NA,NA,NA
195,42.81307064,-4.89692111,NA,NA,"A","1","21","Pinus sylvestris",NA,NA,14,10,21,NA,NA,1,"Young growth",2,"Thicket",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",NA,100,100,NA,NA,1,"1–4 stems",NA,NA
195,42.81307064,-4.89692111,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,NA,NA,NA,"2","Thicket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,1,"1–4 stems",NA,NA,NA,NA
196,42.813167,-4.884886,"A","3E","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,42.795166,-4.884339,"A","4","A","1","43","Quercus pyrenaica",12,1,5,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,80,30,3,">15 stems",3,">15 stems",NA,NA
199,42.777565,-4.859357,"A","3E","A","6C","215","Crataegus monogyna",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,NA,NA,1,"1–4 stems",2,"5–15 stems"
199,42.777565,-4.859357,"A","3E","A","6C","43","Quercus pyrenaica",NA,10,2,0,0,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,90,90,NA,NA,2,"5–15 stems",3,">15 stems"
201,42.759364,-4.871033,"A","4",NA,NA,"25","Pinus nigra",NA,2,NA,40,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","B",NA,NA,NA,NA,NA,NA,30,NA,0,NA,NA,NA,NA,NA
202,42.750164,-4.882975,"A","1",NA,NA,"21","Pinus sylvestris",6,10,NA,0,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,40,100,NA,3,">15 stems",3,">15 stems",NA,NA
204,42.740962,-4.894913,"A","3E","A","1","21","Pinus sylvestris",44,46,29,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",40,90,90,NA,NA,1,"1–4 stems",NA,NA
204,42.740962,-4.894913,"A","3E","A","1","43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,2,"5–15 stems",1,"1–4 stems"
206,42.741363,-4.870492,"A","1",NA,NA,"21","Pinus sylvestris",52,14,NA,35,4,"2","Thicket",4,"Old growth",1,"Young growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",40,100,100,NA,NA,NA,NA,2,"5–15 stems"
